experiment,condition,seed,run_id,sMAPE,RMSSE,RMSSC,sMAPC
A_Scratch_Standard_seed1,Scratch_Standard,1,yaet5qz8,12.853630065917969,1.2034053802490234,0.37727200984954834,5.047770023345947
A_Scratch_Standard_seed2,Scratch_Standard,2,wguwkxhy,12.973570823669434,1.2886040210723877,0.39102938771247864,4.943737030029297
A_Scratch_Standard_seed3,Scratch_Standard,3,41a4epe8,13.687915802001953,1.528102159500122,0.3675881028175354,4.42792272567749
B_Scratch_Stabilized_seed1,Scratch_Stabilized,1,c70cqkoo,13.1519775390625,1.3346641063690186,0.3035429120063782,3.9757838249206543
B_Scratch_Stabilized_seed2,Scratch_Stabilized,2,bgrj186f,13.25965690612793,1.3490749597549438,0.3036198616027832,3.801396131515503
B_Scratch_Stabilized_seed3,Scratch_Stabilized,3,fusbxe5k,13.273076057434082,1.3214385509490967,0.3074105381965637,4.051266670227051
C_TL_Standard_pretrain_seed1,TL_Standard_pretrain,1,9gsv17gu,11.573332786560059,1.7142549753189087,0.38840946555137634,3.092242956161499
C_TL_Standard_pretrain_seed2,TL_Standard_pretrain,2,9350xmaa,11.567647933959961,1.652029037475586,0.4150417745113373,3.0085947513580322
C_TL_Standard_pretrain_seed3,TL_Standard_pretrain,3,4k98rjvf,11.148906707763672,1.5037450790405273,0.4113512635231018,3.445435047149658
D_TL_Stabilized_pretrain_seed1,TL_Stabilized_pretrain,1,4wqfk2vw,11.552688598632812,1.659632921218872,0.31693536043167114,2.488084077835083
D_TL_Stabilized_pretrain_seed2,TL_Stabilized_pretrain,2,95i77vw3,11.494622230529785,1.6444858312606812,0.30548548698425293,2.4858710765838623
D_TL_Stabilized_pretrain_seed3,TL_Stabilized_pretrain,3,10gvfak4,11.415213584899902,1.6028445959091187,0.31338226795196533,2.634640693664551
C_TL_Standard_finetune_seed1,TL_Standard,1,w95ikwaa,13.087865829467773,1.2818132638931274,0.31871944665908813,4.147964000701904
C_TL_Standard_finetune_seed2,TL_Standard,2,0raccuuk,12.9957275390625,1.2727209329605103,0.3162974715232849,4.207563400268555
C_TL_Standard_finetune_seed3,TL_Standard,3,yb41kld7,12.970880508422852,1.2401573657989502,0.3436641991138458,4.4999308586120605
D_TL_Stabilized_finetune_seed1,TL_Stabilized,1,nlh3kjkq,13.00070858001709,1.2606761455535889,0.30177876353263855,3.891218900680542
D_TL_Stabilized_finetune_seed2,TL_Stabilized,2,huv745le,12.997779846191406,1.275344729423523,0.30629950761795044,4.053378582000732
D_TL_Stabilized_finetune_seed3,TL_Stabilized,3,p171907m,13.020593643188477,1.2470409870147705,0.3228254020214081,4.3152642250061035
