architecture,hidden_layer_units,n_blocks,n_parameters,seed,val_sMAPE,val_RMSSE,val_RMSSC,val_sMAPC,time_seconds,wandb_run_id,timestamp
NBEATS,32,3,25890,1,13.240585327148438,1.2888877391815186,0.3561754822731018,4.944528102874756,152.9,by7o0glt,2026-03-07T16:19:29.556609
NBEATS,32,5,43150,1,12.797147750854492,1.2735815048217773,0.41437628865242004,4.854979991912842,147.1,v4r26tb9,2026-03-07T16:21:56.627364
NBEATS,32,10,86300,1,12.776473999023438,1.2711824178695679,0.4114265739917755,4.838711738586426,149.3,7jiwvsqo,2026-03-07T16:24:25.966162
NBEATS,128,3,287394,1,13.17119026184082,1.2441023588180542,0.43019357323646545,5.742643356323242,148.1,467htmj9,2026-03-07T16:26:54.114321
NBEATS,128,5,478990,1,13.051358222961426,1.2636440992355347,0.41364243626594543,5.195368766784668,209.0,hyf8ohll,2026-03-07T16:30:23.100511
NBEATS,128,10,957980,1,13.045601844787598,1.287589192390442,0.3740658760070801,4.810887813568115,243.0,ic0v9246,2026-03-07T16:34:26.147855
NBEATS,256,3,1066146,1,12.811368942260742,1.2882637977600098,0.43972247838974,4.938416957855225,154.9,qy0bsn0s,2026-03-07T16:37:01.015383
NBEATS,256,5,1776910,1,12.819480895996094,1.246042251586914,0.4330332577228546,5.41715145111084,166.9,0dfe9i0p,2026-03-07T16:39:47.959683
NBEATS,256,10,3553820,1,13.014449119567871,1.2475001811981201,0.4130135774612427,5.23334264755249,197.0,oz38dizn,2026-03-07T16:43:05.024883
NBEATS,512,3,4098210,1,12.976543426513672,1.2831934690475464,0.4114629626274109,4.795838356018066,176.9,he4rc94f,2026-03-07T16:46:01.937111
NBEATS,512,5,6830350,1,12.753539085388184,1.255199909210205,0.40404611825942993,4.806431293487549,195.5,3nc5mj10,2026-03-07T16:49:17.519206
NBEATS,512,10,13660700,1,13.02043342590332,1.3213011026382446,0.4345410168170929,4.775114059448242,250.9,oa8q372t,2026-03-07T16:53:28.786528
NHITS,32,3,21726,1,13.451485633850098,1.3336344957351685,0.3922615349292755,5.080814361572266,148.0,nbpxsjr7,2026-03-07T16:55:56.806801
NHITS,32,5,33001,1,13.367317199707031,1.2850438356399536,0.41067057847976685,5.024719715118408,149.4,q260ihhe,2026-03-07T16:58:26.210502
NHITS,32,10,60116,1,13.331046104431152,1.266236424446106,0.433036744594574,6.095300197601318,156.5,ts19vts1,2026-03-07T17:01:02.733888
NHITS,128,3,270942,1,13.070676803588867,1.2618505954742432,0.45957908034324646,6.339881896972656,148.7,gaaj2bj7,2026-03-07T17:03:31.482000
NHITS,128,5,438889,1,13.765054702758789,1.2208802700042725,0.48777449131011963,7.740272521972656,157.7,qw87s2il,2026-03-07T17:06:09.174630
NHITS,128,10,854516,1,13.196588516235352,1.2722045183181763,0.4600737690925598,6.420780181884766,197.4,2429khr4,2026-03-07T17:09:26.582235
NHITS,256,3,1033310,1,12.786294937133789,1.2618013620376587,0.4349188506603241,5.101197719573975,311.8,to4gajvn,2026-03-07T17:14:38.426182
NHITS,256,5,1696873,1,13.106454849243164,1.2592555284500122,0.42114323377609253,5.555723190307617,228.3,dw64hri2,2026-03-07T17:18:26.791372
NHITS,256,10,3347316,1,13.238109588623047,1.2977057695388794,0.38543376326560974,4.889931678771973,336.6,9i72qysp,2026-03-07T17:24:03.468452
NHITS,512,3,4032606,1,12.932377815246582,1.272723913192749,0.43623483180999756,5.097558975219727,322.4,hy2agg6y,2026-03-07T17:29:25.916353
NHITS,512,5,6670441,1,13.530515670776367,1.310062050819397,0.3912813067436218,4.351633548736572,201.2,3u4axpml,2026-03-07T17:32:47.143222
NHITS,512,10,13248116,1,12.859603881835938,1.2819890975952148,0.4670027792453766,5.49681282043457,254.4,v2pqdjsu,2026-03-07T17:37:01.883286
