lambda,ema_decay,seed,run_id,sMAPE,RMSSE,RMSSC,sMAPC
0.0,0.0,1,yaet5qz8,12.853630065917969,1.2034053802490234,0.37727200984954834,5.047770023345947
0.0,0.0,2,wguwkxhy,12.973570823669434,1.2886040210723877,0.39102938771247864,4.943737030029297
0.0,0.0,3,41a4epe8,13.687915802001953,1.528102159500122,0.3675881028175354,4.42792272567749
0.02,0.99,1,c70cqkoo,13.1519775390625,1.3346641063690186,0.3035429120063782,3.9757838249206543
0.02,0.99,2,bgrj186f,13.25965690612793,1.3490749597549438,0.3036198616027832,3.801396131515503
0.02,0.99,3,fusbxe5k,13.273076057434082,1.3214385509490967,0.3074105381965637,4.051266670227051
0.005,0.99,1,r7u9ir52,13.14333438873291,1.3395828008651733,0.3172231614589691,4.0418596267700195
0.005,0.99,2,r8x24mju,13.226991653442383,1.3428518772125244,0.30143049359321594,3.826833486557007
0.005,0.99,3,3aa7nq39,13.155258178710938,1.3084526062011719,0.3194749653339386,4.158260345458984
0.01,0.99,1,wd6e9c1e,13.183652877807617,1.3534189462661743,0.31616446375846863,4.0689697265625
0.01,0.99,2,kiplmlvq,13.127455711364746,1.2998099327087402,0.30173179507255554,3.940129041671753
0.01,0.99,3,yubikdtm,13.249812126159668,1.325718641281128,0.32202911376953125,4.212507724761963
0.05,0.99,1,z9vwsxmk,13.275260925292969,1.3986361026763916,0.28118398785591125,3.6258788108825684
0.05,0.99,2,w2kjjey7,13.208525657653809,1.3330366611480713,0.28107646107673645,3.6176095008850098
0.05,0.99,3,tzaugaar,13.262787818908691,1.3437620401382446,0.301383376121521,3.989598035812378
0.1,0.99,1,maq80tj2,13.313346862792969,1.3869234323501587,0.2681410312652588,3.3359930515289307
0.1,0.99,2,iqwlfwar,13.249031066894531,1.3340191841125488,0.2635315954685211,3.3193860054016113
0.1,0.99,3,2564tumi,13.286083221435547,1.3722134828567505,0.2769385874271393,3.651148557662964
0.2,0.99,1,pdx9nr4t,13.534648895263672,1.4367389678955078,0.24059009552001953,2.83927845954895
0.2,0.99,2,gmvwcyw8,13.373859405517578,1.4041541814804077,0.23206941783428192,2.747393846511841
0.2,0.99,3,kxb3mi11,13.353982925415039,1.3587791919708252,0.2380235344171524,3.043137550354004
