w_accuracy_step,w_stability_step,epoch,trainer/global_step,_step,tloss_step,_timestamp,_runtime,tloss_a_step,tloss_s_step,tloss_a_epoch,tloss_s_epoch,tloss_epoch,w_accuracy_epoch,w_stability_epoch,sMAPE,sMAPC,RMSSE,RMSSC
1.0,0.0,0,49,0,1.1867759227752686,1778393850.4716384,21.243711961,1.1867759227752686,0.3838711977005005,,,,,,,,,
,,0,92,1,,1778393869.0062683,39.778278444,,,1.3018056154251099,0.4033457934856415,1.3018056154251099,1.0,0.0,,,,
1.0,0.0,1,99,2,1.0866472721099854,1778393871.8256564,42.597580119,1.0866472721099854,0.39703142642974854,,,,,,,,,
1.0,0.0,1,149,3,1.0876107215881348,1778393892.4117303,63.183736083,1.0876107215881348,0.4090362787246704,,,,,,,,,
,,1,185,4,,1778393908.223088,78.995157393,,,1.1203811168670654,0.39153942465782166,1.1203811168670654,1.0,0.0,,,,
1.0,0.0,2,199,5,1.1796367168426514,1778393913.998255,84.770315254,1.1796367168426514,0.39006468653678894,,,,,,,,,
1.0,0.0,2,249,6,1.0903732776641846,1778393934.4964507,105.268392905,1.0903732776641846,0.4508515000343323,,,,,,,,,
,,2,278,7,,1778393947.4658616,118.237958023,,,1.0770180225372314,0.39526310563087463,1.0770180225372314,1.0,0.0,,,,
1.0,0.0,3,299,8,1.0562288761138916,1778393956.211175,126.983231488,1.0562288761138916,0.40205439925193787,,,,,,,,,
1.0,0.0,3,349,9,1.1074697971343994,1778393976.782389,147.554399396,1.1074697971343994,0.4407062530517578,,,,,,,,,
,,3,371,10,,1778393986.94991,157.721997668,,,1.0514521598815918,0.3925292193889618,1.0514521598815918,1.0,0.0,,,,
1.0,0.0,4,399,11,1.0325392484664917,1778393998.5420368,169.314025473,1.0325392484664917,0.40837928652763367,,,,,,,,,
1.0,0.0,4,449,12,1.004034161567688,1778394019.0868728,189.858839299,1.004034161567688,0.3950807452201843,,,,,,,,,
,,4,464,13,,1778394026.285041,197.057242577,,,1.0268114805221558,0.40660858154296875,1.0268114805221558,1.0,0.0,,,,
1.0,0.0,5,499,14,1.0423632860183716,1778394040.7809565,211.552907418,1.0423632860183716,0.4594341814517975,,,,,,,,,
1.0,0.0,5,549,15,0.983893096446991,1778394061.1811428,231.953328162,0.983893096446991,0.37196218967437744,,,,,,,,,
,,5,557,16,,1778394065.5933979,236.365557155,,,1.0192525386810303,0.4127815067768097,1.0192525386810303,1.0,0.0,,,,
1.0,0.0,6,599,17,0.9434061050415039,1778394082.9945672,253.766807584,0.9434061050415039,0.3989936113357544,,,,,,,,,
1.0,0.0,6,649,18,1.0196444988250732,1778394103.5385687,274.310761372,1.0196444988250732,0.4407005310058594,,,,,,,,,
,,6,650,19,,1778394104.959925,275.732006374,,,0.9867802262306213,0.426015168428421,0.9867802262306213,1.0,0.0,,,,
1.0,0.0,7,699,20,1.0081652402877808,1778394125.3953922,296.167372861,1.0081652402877808,0.4639815092086792,,,,,,,,,
,,7,743,21,,1778394144.6064138,315.378456285,,,0.9883893728256226,0.4331245720386505,0.9883893728256226,1.0,0.0,,,,
1.0,0.0,8,749,22,0.9465284943580627,1778394147.0472944,317.819268924,0.9465284943580627,0.3999525010585785,,,,,,,,,
1.0,0.0,8,799,23,0.9127206206321716,1778394167.769041,338.541026696,0.9127206206321716,0.4067140519618988,,,,,,,,,
,,8,836,24,,1778394184.0629225,354.834953452,,,0.9587001800537109,0.44129952788352966,0.9587001800537109,1.0,0.0,,,,
1.0,0.0,9,849,25,0.9145514965057373,1778394189.4746263,360.246803085,0.9145514965057373,0.4647338390350342,,,,,,,,,
1.0,0.0,9,899,26,0.9406639337539673,1778394210.237535,381.009733017,0.9406639337539673,0.4658334255218506,,,,,,,,,
,,9,929,27,,1778394223.641265,394.413555123,,,0.9376479983329773,0.4603627920150757,0.9376479983329773,1.0,0.0,,,,
1.0,0.0,10,949,28,0.9363518953323364,1778394231.83977,402.611902468,0.9363518953323364,0.49142420291900635,,,,,,,,,
1.0,0.0,10,999,29,0.9160958528518677,1778394252.5635853,423.33553835,0.9160958528518677,0.47927215695381165,,,,,,,,,
,,10,1022,30,,1778394263.0101082,433.782147401,,,0.9233183264732361,0.46886229515075684,0.9233183264732361,1.0,0.0,,,,
1.0,0.0,11,1049,31,0.9407593011856079,1778394274.2356608,445.007718518,0.9407593011856079,0.4695330858230591,,,,,,,,,
1.0,0.0,11,1099,32,0.8990364074707031,1778394294.9922433,465.764288948,0.8990364074707031,0.47890007495880127,,,,,,,,,
,,11,1115,33,,1778394302.6489174,473.421078554,,,0.8999465703964233,0.4789128005504608,0.8999465703964233,1.0,0.0,,,,
1.0,0.0,12,1149,34,0.9479957818984985,1778394316.7667718,487.538912921,0.9479957818984985,0.5537517666816711,,,,,,,,,
1.0,0.0,12,1199,35,0.8675412535667419,1778394337.4878888,508.259892783,0.8675412535667419,0.48965543508529663,,,,,,,,,
,,12,1208,36,,1778394342.331957,513.104011031,,,0.892632007598877,0.48820823431015015,0.892632007598877,1.0,0.0,,,,
1.0,0.0,13,1249,37,0.9259910583496094,1778394359.3650093,530.13695049,0.9259910583496094,0.53631991147995,,,,,,,,,
1.0,0.0,13,1299,38,0.8800510764122009,1778394380.1505437,550.922468179,0.8800510764122009,0.49086809158325195,,,,,,,,,
,,13,1301,39,,1778394381.9868555,552.75884938,,,0.865898847579956,0.4852950870990753,0.865898847579956,1.0,0.0,,,,
1.0,0.0,14,1349,40,0.7724863886833191,1778394401.7267542,572.498817622,0.7724863886833191,0.46666622161865234,,,,,,,,,
,,14,1394,41,,1778394421.286874,592.058990975,,,0.8409705758094788,0.479244202375412,0.8409705758094788,1.0,0.0,,,,
1.0,0.0,15,1399,42,0.8090394735336304,1778394423.3127723,594.084791788,0.8090394735336304,0.4746253192424774,,,,,,,,,
1.0,0.0,15,1449,43,0.794448971748352,1778394444.0652418,614.837306768,0.794448971748352,0.4953429698944092,,,,,,,,,
,,15,1487,44,,1778394460.9395561,631.711624045,,,0.829075813293457,0.4972262978553772,0.829075813293457,1.0,0.0,,,,
1.0,0.0,16,1499,45,0.8417952060699463,1778394465.9674544,636.739655221,0.8417952060699463,0.484167218208313,,,,,,,,,
1.0,0.0,16,1549,46,0.8167515397071838,1778394486.6007454,657.372869628,0.8167515397071838,0.48159486055374146,,,,,,,,,
,,16,1580,47,,1778394500.4833047,671.255427326,,,0.810103714466095,0.49721604585647583,0.810103714466095,1.0,0.0,,,,
1.0,0.0,17,1599,48,0.8827362060546875,1778394508.346674,679.118767668,0.8827362060546875,0.4964289665222168,,,,,,,,,
1.0,0.0,17,1649,49,0.7524553537368774,1778394529.1638567,699.935949405,0.7524553537368774,0.4814819097518921,,,,,,,,,
,,17,1673,50,,1778394540.2060893,710.978175066,,,0.794226348400116,0.49833714962005615,0.794226348400116,1.0,0.0,,,,
1.0,0.0,18,1699,51,0.7598823308944702,1778394551.0897012,721.861814155,0.7598823308944702,0.5024924874305725,,,,,,,,,
1.0,0.0,18,1749,52,0.7565994262695312,1778394571.7703753,742.542575028,0.7565994262695312,0.48282313346862793,,,,,,,,,
,,18,1766,53,,1778394579.7746882,750.546723463,,,0.7746725678443909,0.49384623765945435,0.7746725678443909,1.0,0.0,,,,
1.0,0.0,19,1799,54,0.7145212888717651,1778394593.3710842,764.143273164,0.7145212888717651,0.4433557093143463,,,,,,,,,
1.0,0.0,19,1849,55,0.7268166542053223,1778394614.0423074,784.814493454,0.7268166542053223,0.4788997769355774,,,,,,,,,
,,19,1859,56,,1778394619.253016,790.025055538,,,0.7742152214050293,0.48324304819107056,0.7742152214050293,1.0,0.0,,,,
1.0,0.0,20,1899,57,0.7545960545539856,1778394635.658845,806.430852541,0.7545960545539856,0.480782687664032,,,,,,,,,
1.0,0.0,20,1949,58,0.7460218667984009,1778394656.3116164,827.083585705,0.7460218667984009,0.4850428104400635,,,,,,,,,
,,20,1952,59,,1778394658.5356004,829.30773746,,,0.7536447048187256,0.49003762006759644,0.7536447048187256,1.0,0.0,,,,
1.0,0.0,21,1999,60,0.7937427759170532,1778394677.9584253,848.730664671,0.7937427759170532,0.5227499008178711,,,,,,,,,
,,21,2045,61,,1778394698.2260559,868.998216518,,,0.7479727864265442,0.49811357259750366,0.7479727864265442,1.0,0.0,,,,
1.0,0.0,22,2049,62,0.6866006851196289,1778394699.8795013,870.651500548,0.6866006851196289,0.4331674575805664,,,,,,,,,
1.0,0.0,22,2099,63,0.714482843875885,1778394720.8412411,891.613297724,0.714482843875885,0.5006029605865479,,,,,,,,,
,,22,2138,64,,1778394738.0416474,908.813784987,,,0.7212055325508118,0.4864431917667389,0.7212055325508118,1.0,0.0,,,,
1.0,0.0,23,2149,65,0.7223739624023438,1778394742.6822128,913.454301814,0.7223739624023438,0.49037599563598633,,,,,,,,,
1.0,0.0,23,2199,66,0.7360153198242188,1778394763.2214718,933.993547016,0.7360153198242188,0.494853675365448,,,,,,,,,
,,23,2231,67,,1778394777.5866542,948.358746055,,,0.7036993503570557,0.4895264804363251,0.7036993503570557,1.0,0.0,,,,
1.0,0.0,24,2249,68,0.658403754234314,1778394785.0662937,955.838361431,0.658403754234314,0.45479288697242737,,,,,,,,,
1.0,0.0,24,2299,69,0.7177842855453491,1778394805.6412833,976.413350214,0.7177842855453491,0.5227811336517334,,,,,,,,,
,,24,2324,70,,1778394817.0482132,987.820307345,,,0.7046790719032288,0.48819929361343384,0.7046790719032288,1.0,0.0,,,,
1.0,0.0,25,2349,71,0.6567620038986206,1778394827.4890084,998.261112755,0.6567620038986206,0.4574202299118042,,,,,,,,,
1.0,0.0,25,2399,72,0.7296881675720215,1778394848.1873074,1018.95939526,0.7296881675720215,0.49112415313720703,,,,,,,,,
,,25,2417,73,,1778394856.807688,1027.579857179,,,0.6929590106010437,0.4845745861530304,0.6929590106010437,1.0,0.0,,,,
1.0,0.0,26,2449,74,0.7366281151771545,1778394870.058269,1040.830321613,0.7366281151771545,0.5044956803321838,,,,,,,,,
1.0,0.0,26,2499,75,0.6777278184890747,1778394890.6745923,1061.446719799,0.6777278184890747,0.4657492935657501,,,,,,,,,
,,26,2510,76,,1778394896.2905297,1067.062613405,,,0.6763960719108582,0.48866379261016846,0.6763960719108582,1.0,0.0,,,,
1.0,0.0,27,2549,77,0.6333569884300232,1778394912.5496666,1083.321618729,0.6333569884300232,0.4475431740283966,,,,,,,,,
