w_accuracy_step,epoch,_timestamp,_step,tloss_step,w_stability_step,trainer/global_step,_runtime,tloss_a_step,tloss_s_step,w_stability_epoch,tloss_a_epoch,tloss_s_epoch,w_accuracy_epoch,tloss_epoch,RMSSE,RMSSC,sMAPE,sMAPC
1.0,0,1778420601.9877691,0,1.0916047096252441,0.0,49,21.056401468,1.0916047096252441,0.4503852128982544,,,,,,,,,
,0,1778420620.828223,1,,,92,39.896676009,,,0.0,1.07036554813385,0.4643959105014801,1.0,1.07036554813385,,,,
1.0,1,1778420623.6842253,2,1.0991132259368896,0.0,99,42.752680232,1.0991132259368896,0.46952277421951294,,,,,,,,,
1.0,1,1778420644.5853918,3,1.0484122037887573,0.0,149,63.653781288,1.0484122037887573,0.42274630069732666,,,,,,,,,
,1,1778420660.4900658,4,,,185,79.558752261,,,0.0,1.068805456161499,0.4616697132587433,1.0,1.068805456161499,,,,
1.0,2,1778420666.3074782,5,1.0658857822418213,0.0,199,85.376005915,1.0658857822418213,0.4681108593940735,,,,,,,,,
1.0,2,1778420686.9334922,6,1.0005877017974854,0.0,249,106.00196027,1.0005877017974854,0.4487760066986084,,,,,,,,,
,2,1778420699.9689598,7,,,278,119.037406486,,,0.0,1.0577926635742188,0.46140238642692566,1.0,1.0577926635742188,,,,
1.0,3,1778420708.8225346,8,1.149838924407959,0.0,299,127.891094822,1.149838924407959,0.4859042167663574,,,,,,,,,
1.0,3,1778420729.6541646,9,1.032163143157959,0.0,349,148.722590172,1.032163143157959,0.4563336968421936,,,,,,,,,
,3,1778420739.9712014,10,,,371,159.039710092,,,0.0,1.0549780130386353,0.45658135414123535,1.0,1.0549780130386353,,,,
1.0,4,1778420751.729787,11,1.0606210231781006,0.0,399,170.798187244,1.0606210231781006,0.43371301889419556,,,,,,,,,
1.0,4,1778420772.558038,12,0.986785888671875,0.0,449,191.626531253,0.986785888671875,0.4073253870010376,,,,,,,,,
,4,1778420779.8251545,13,,,464,198.893683707,,,0.0,1.0572059154510498,0.45070788264274597,1.0,1.0572059154510498,,,,
1.0,5,1778420794.638287,14,1.0090774297714233,0.0,499,213.706717595,1.0090774297714233,0.44016873836517334,,,,,,,,,
1.0,5,1778420815.4665344,15,1.0562307834625244,0.0,549,234.53490569,1.0562307834625244,0.4802466928958893,,,,,,,,,
,5,1778420819.9116898,16,,,557,238.980176087,,,0.0,1.04738187789917,0.4480842649936676,1.0,1.04738187789917,,,,
1.0,6,1778420837.5623832,17,1.1016318798065186,0.0,599,256.630701572,1.1016318798065186,0.4983923137187958,,,,,,,,,
