tloss_a_step,tloss_s_step,w_stability_step,epoch,trainer/global_step,_timestamp,_runtime,tloss_step,w_accuracy_step,_step,tloss_s_epoch,w_accuracy_epoch,tloss_a_epoch,tloss_epoch,w_stability_epoch,sMAPE,RMSSE,RMSSC,sMAPC
1.4605114459991455,0.5919292569160461,0.0,0,49,1778406308.210857,26.386846949,1.4605114459991455,1.0,0,,,,,,,,,
,,,0,92,1778406327.4829576,45.659007442000004,,,1,0.6762655377388,1.0,1.664878487586975,1.664878487586975,0.0,,,,
1.396225929260254,0.5353856086730957,0.0,1,99,1778406334.1771085,52.353078921,1.396225929260254,1.0,2,,,,,,,,,
1.3550094366073608,0.6448095440864563,0.0,1,149,1778406355.328125,73.504173037,1.3550094366073608,1.0,3,,,,,,,,,
,,,1,185,1778406371.2462687,89.422402816,,,4,0.5745767951011658,1.0,1.3752082586288452,1.3752082586288452,0.0,,,,
1.33367919921875,0.5546170473098755,0.0,2,199,1778406380.8378382,99.013928838,1.33367919921875,1.0,5,,,,,,,,,
1.3018369674682617,0.5170731544494629,0.0,2,249,1778406401.8746624,120.050655801,1.3018369674682617,1.0,6,,,,,,,,,
,,,2,278,1778406414.7980452,132.974174016,,,7,0.5764050483703613,1.0,1.3530768156051636,1.3530768156051636,0.0,,,,
1.343259334564209,0.5243980884552002,0.0,3,299,1778406427.150671,145.326591021,1.343259334564209,1.0,8,,,,,,,,,
1.3218541145324707,0.5656387805938721,0.0,3,349,1778406447.8926907,166.068583227,1.3218541145324707,1.0,9,,,,,,,,,
,,,3,371,1778406458.0095217,176.185492345,,,10,0.55708909034729,1.0,1.3326317071914673,1.3326317071914673,0.0,,,,
1.2000898122787476,0.525576114654541,0.0,4,399,1778406473.356309,191.532261725,1.2000898122787476,1.0,11,,,,,,,,,
1.4113233089447021,0.5465973615646362,0.0,4,449,1778406493.931565,212.107582465,1.4113233089447021,1.0,12,,,,,,,,,
,,,4,464,1778406501.0358565,219.211840729,,,13,0.5556577444076538,1.0,1.326672077178955,1.326672077178955,0.0,,,,
1.2077199220657349,0.5030115842819214,0.0,5,499,1778406519.4988058,237.674975228,1.2077199220657349,1.0,14,,,,,,,,,
1.3339096307754517,0.6055771112442017,0.0,5,549,1778406540.6252816,258.80134515,1.3339096307754517,1.0,15,,,,,,,,,
,,,5,557,1778406544.7460084,262.922059551,,,16,0.5561231374740601,1.0,1.2945629358291626,1.2945629358291626,0.0,,,,
1.321418046951294,0.5675580501556396,0.0,6,599,1778406566.1751482,284.351187969,1.321418046951294,1.0,17,,,,,,,,,
1.3618601560592651,0.5230635404586792,0.0,6,649,1778406587.0768926,305.252962326,1.3618601560592651,1.0,18,,,,,,,,,
,,,6,650,1778406588.544407,306.720367077,,,19,0.5589514970779419,1.0,1.2923917770385742,1.2923917770385742,0.0,,,,
1.3380708694458008,0.6259053349494934,0.0,7,699,1778406612.7817214,330.957703768,1.3380708694458008,1.0,20,,,,,,,,,
,,,7,743,1778406632.0934904,350.269773704,,,21,0.5604663491249084,1.0,1.285176157951355,1.285176157951355,0.0,,,,
1.3604339361190796,0.5919401049613953,0.0,8,749,1778406638.3125393,356.48856027,1.3604339361190796,1.0,22,,,,,,,,,
1.2521449327468872,0.56952303647995,0.0,8,799,1778406659.4109547,377.586913754,1.2521449327468872,1.0,23,,,,,,,,,
,,,8,836,1778406675.7096791,393.885665342,,,24,0.55805903673172,1.0,1.2723112106323242,1.2723112106323242,0.0,,,,
1.4204905033111572,0.5175720453262329,0.0,9,849,1778406684.5522091,402.728167656,1.4204905033111572,1.0,25,,,,,,,,,
1.2901413440704346,0.49754247069358826,0.0,9,899,1778406705.4555428,423.631465348,1.2901413440704346,1.0,26,,,,,,,,,
,,,9,929,1778406718.8708062,437.046820027,,,27,0.5606985092163086,1.0,1.27341628074646,1.27341628074646,0.0,,,,
1.2855021953582764,0.5983775854110718,0.0,10,949,1778406730.5286474,448.704691955,1.2855021953582764,1.0,28,,,,,,,,,
1.296337366104126,0.5918144583702087,0.0,10,999,1778406751.5495331,469.725580932,1.296337366104126,1.0,29,,,,,,,,,
,,,10,1022,1778406761.928167,480.104190776,,,30,0.5694732069969177,1.0,1.2602448463439941,1.2602448463439941,0.0,,,,
1.3057422637939453,0.562268853187561,0.0,11,1049,1778406776.7058985,494.881928921,1.3057422637939453,1.0,31,,,,,,,,,
