tloss_s_step,w_accuracy_step,w_stability_step,trainer/global_step,_runtime,_step,tloss_a_step,tloss_step,epoch,_timestamp,tloss_s_epoch,tloss_epoch,w_accuracy_epoch,tloss_a_epoch,w_stability_epoch,sMAPE,RMSSE,RMSSC,sMAPC
0.5597244501113892,1.0,0.0,49,23.920640585,0,1.6941931247711182,1.6941931247711182,0,1778434799.2171996,,,,,,,,,
,,,92,42.011153949,1,,,0,1778434817.3078215,0.5068856477737427,1.8035414218902588,1.0,1.8035414218902588,0.0,,,,
0.5492054224014282,1.0,0.0,99,48.522193538,2,1.324272871017456,1.324272871017456,1,1778434823.8189278,,,,,,,,,
0.5244051218032837,1.0,0.0,149,68.128893644,3,1.4997949600219727,1.4997949600219727,1,1778434843.4255965,,,,,,,,,
,,,185,83.69605868,4,,,1,1778434858.9927173,0.5780818462371826,1.4777107238769531,1.0,1.4777107238769531,0.0,,,,
0.560163676738739,1.0,0.0,199,93.056300325,5,1.4184905290603638,1.4184905290603638,2,1778434868.3529687,,,,,,,,,
0.5705758333206177,1.0,0.0,249,112.526031376,6,1.438493013381958,1.438493013381958,2,1778434887.8227594,,,,,,,,,
,,,278,125.361683974,7,,,2,1778434900.6583827,0.5755639672279358,1.439985990524292,1.0,1.439985990524292,0.0,,,,
0.5712518692016602,1.0,0.0,299,137.319158504,8,1.4682401418685913,1.4682401418685913,3,1778434912.6158774,,,,,,,,,
0.5954563617706299,1.0,0.0,349,156.843592906,9,1.363525629043579,1.363525629043579,3,1778434932.140207,,,,,,,,,
,,,371,166.980734082,10,,,3,1778434942.2774339,0.5770915150642395,1.386332392692566,1.0,1.386332392692566,0.0,,,,
0.568932831287384,1.0,0.0,399,181.872337261,11,1.3363243341445923,1.3363243341445923,4,1778434957.169078,,,,,,,,,
0.5618472099304199,1.0,0.0,449,201.324233968,12,1.2882869243621826,1.2882869243621826,4,1778434976.6209311,,,,,,,,,
,,,464,208.762005803,13,,,4,1778434984.0586402,0.5755171179771423,1.3713901042938232,1.0,1.3713901042938232,0.0,,,,
0.5303192734718323,1.0,0.0,499,226.193935071,14,1.2981398105621338,1.2981398105621338,5,1778435001.4906163,,,,,,,,,
0.5748445987701416,1.0,0.0,549,245.68580437,15,1.27723228931427,1.27723228931427,5,1778435020.9824893,,,,,,,,,
,,,557,250.304271289,16,,,5,1778435025.600973,0.5711359977722168,1.3382999897003174,1.0,1.3382999897003174,0.0,,,,
0.5885435938835144,1.0,0.0,599,270.59225842,17,1.2736953496932983,1.2736953496932983,6,1778435045.889116,,,,,,,,,
0.5863406658172607,1.0,0.0,649,290.034484231,18,1.3163025379180908,1.3163025379180908,6,1778435065.3311763,,,,,,,,,
,,,650,292.054262655,19,,,6,1778435067.3509877,0.5756087899208069,1.3496463298797607,1.0,1.3496463298797607,0.0,,,,
0.6078794002532959,1.0,0.0,699,315.371868337,20,1.3009848594665527,1.3009848594665527,7,1778435090.668567,,,,,,,,,
,,,743,334.397079474,21,,,7,1778435109.6936712,0.5690665245056152,1.317115068435669,1.0,1.317115068435669,0.0,,,,
0.5923746228218079,1.0,0.0,749,340.991142455,22,1.3546018600463867,1.3546018600463867,8,1778435116.2878234,,,,,,,,,
0.6102031469345093,1.0,0.0,799,360.499162187,23,1.3863868713378906,1.3863868713378906,8,1778435135.7958846,,,,,,,,,
,,,836,376.680097487,24,,,8,1778435151.9768014,0.5737334489822388,1.3157005310058594,1.0,1.3157005310058594,0.0,,,,
0.539330244064331,1.0,0.0,849,385.658146365,25,1.340749740600586,1.340749740600586,9,1778435160.9548347,,,,,,,,,
0.5983195304870605,1.0,0.0,899,404.868022122,26,1.255453109741211,1.255453109741211,9,1778435180.1646676,,,,,,,,,
,,,929,418.423600037,27,,,9,1778435193.7201273,0.5708562135696411,1.290820598602295,1.0,1.290820598602295,0.0,,,,
0.5431385040283203,1.0,0.0,949,430.124847073,28,1.301685094833374,1.301685094833374,10,1778435205.4214635,,,,,,,,,
0.564301609992981,1.0,0.0,999,449.952657932,29,1.2946174144744873,1.2946174144744873,10,1778435225.2493455,,,,,,,,,
,,,1022,460.362048572,30,,,10,1778435235.6586685,0.5582699179649353,1.3008021116256714,1.0,1.3008021116256714,0.0,,,,
0.555684506893158,1.0,0.0,1049,474.843059297,31,1.4565694332122803,1.4565694332122803,11,1778435250.1397383,,,,,,,,,
0.6533459424972534,1.0,0.0,1099,494.117474452,32,1.3197226524353027,1.3197226524353027,11,1778435269.4142041,,,,,,,,,
,,,1115,501.930251119,33,,,11,1778435277.2269123,0.5654492378234863,1.2905185222625732,1.0,1.2905185222625732,0.0,,,,
