scenario,metric,model_a,model_b,p_nemenyi,significant
Scratch,sMAPE,NBEATS_Standard,NBEATS_Stabilized,0.0,True
Scratch,sMAPE,NBEATS_Standard,NHITS_Standard,0.06098,False
Scratch,sMAPE,NBEATS_Standard,NHITS_Stabilized,0.615671,False
Scratch,sMAPE,NBEATS_Stabilized,NHITS_Standard,0.0,True
Scratch,sMAPE,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
Scratch,sMAPE,NHITS_Standard,NHITS_Stabilized,0.578589,False
Scratch,RMSSE,NBEATS_Standard,NBEATS_Stabilized,0.0,True
Scratch,RMSSE,NBEATS_Standard,NHITS_Standard,0.0,True
Scratch,RMSSE,NBEATS_Standard,NHITS_Stabilized,0.00112,True
Scratch,RMSSE,NBEATS_Stabilized,NHITS_Standard,0.0,True
Scratch,RMSSE,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
Scratch,RMSSE,NHITS_Standard,NHITS_Stabilized,0.267667,False
Scratch,sMAPC,NBEATS_Standard,NBEATS_Stabilized,0.0,True
Scratch,sMAPC,NBEATS_Standard,NHITS_Standard,0.012504,True
Scratch,sMAPC,NBEATS_Standard,NHITS_Stabilized,0.0,True
Scratch,sMAPC,NBEATS_Stabilized,NHITS_Standard,0.0,True
Scratch,sMAPC,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
Scratch,sMAPC,NHITS_Standard,NHITS_Stabilized,0.0,True
Scratch,RMSSC,NBEATS_Standard,NBEATS_Stabilized,0.0,True
Scratch,RMSSC,NBEATS_Standard,NHITS_Standard,0.130445,False
Scratch,RMSSC,NBEATS_Standard,NHITS_Stabilized,0.0,True
Scratch,RMSSC,NBEATS_Stabilized,NHITS_Standard,0.0,True
Scratch,RMSSC,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
Scratch,RMSSC,NHITS_Standard,NHITS_Stabilized,0.0,True
TL,sMAPE,NBEATS_Standard,NBEATS_Stabilized,9.8e-05,True
TL,sMAPE,NBEATS_Standard,NHITS_Standard,0.0,True
TL,sMAPE,NBEATS_Standard,NHITS_Stabilized,0.0,True
TL,sMAPE,NBEATS_Stabilized,NHITS_Standard,0.0,True
TL,sMAPE,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
TL,sMAPE,NHITS_Standard,NHITS_Stabilized,0.000708,True
TL,RMSSE,NBEATS_Standard,NBEATS_Stabilized,1e-06,True
TL,RMSSE,NBEATS_Standard,NHITS_Standard,0.0,True
TL,RMSSE,NBEATS_Standard,NHITS_Stabilized,0.0,True
TL,RMSSE,NBEATS_Stabilized,NHITS_Standard,0.0,True
TL,RMSSE,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
TL,RMSSE,NHITS_Standard,NHITS_Stabilized,0.001565,True
TL,sMAPC,NBEATS_Standard,NBEATS_Stabilized,0.0,True
TL,sMAPC,NBEATS_Standard,NHITS_Standard,0.0,True
TL,sMAPC,NBEATS_Standard,NHITS_Stabilized,0.0,True
TL,sMAPC,NBEATS_Stabilized,NHITS_Standard,0.0,True
TL,sMAPC,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
TL,sMAPC,NHITS_Standard,NHITS_Stabilized,0.0,True
TL,RMSSC,NBEATS_Standard,NBEATS_Stabilized,0.0,True
TL,RMSSC,NBEATS_Standard,NHITS_Standard,0.0,True
TL,RMSSC,NBEATS_Standard,NHITS_Stabilized,0.0,True
TL,RMSSC,NBEATS_Stabilized,NHITS_Standard,0.0,True
TL,RMSSC,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
TL,RMSSC,NHITS_Standard,NHITS_Stabilized,0.0,True
ZeroShot,sMAPE,NBEATS_Standard,NBEATS_Stabilized,0.0,True
ZeroShot,sMAPE,NBEATS_Standard,NHITS_Standard,0.0,True
ZeroShot,sMAPE,NBEATS_Standard,NHITS_Stabilized,0.0,True
ZeroShot,sMAPE,NBEATS_Stabilized,NHITS_Standard,0.0,True
ZeroShot,sMAPE,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
ZeroShot,sMAPE,NHITS_Standard,NHITS_Stabilized,0.0,True
ZeroShot,RMSSE,NBEATS_Standard,NBEATS_Stabilized,0.0,True
ZeroShot,RMSSE,NBEATS_Standard,NHITS_Standard,0.0,True
ZeroShot,RMSSE,NBEATS_Standard,NHITS_Stabilized,0.0,True
ZeroShot,RMSSE,NBEATS_Stabilized,NHITS_Standard,0.0,True
ZeroShot,RMSSE,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
ZeroShot,RMSSE,NHITS_Standard,NHITS_Stabilized,0.0,True
ZeroShot,sMAPC,NBEATS_Standard,NBEATS_Stabilized,0.0,True
ZeroShot,sMAPC,NBEATS_Standard,NHITS_Standard,0.0,True
ZeroShot,sMAPC,NBEATS_Standard,NHITS_Stabilized,0.0,True
ZeroShot,sMAPC,NBEATS_Stabilized,NHITS_Standard,0.0,True
ZeroShot,sMAPC,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
ZeroShot,sMAPC,NHITS_Standard,NHITS_Stabilized,0.0,True
ZeroShot,RMSSC,NBEATS_Standard,NBEATS_Stabilized,0.0,True
ZeroShot,RMSSC,NBEATS_Standard,NHITS_Standard,0.0,True
ZeroShot,RMSSC,NBEATS_Standard,NHITS_Stabilized,0.0,True
ZeroShot,RMSSC,NBEATS_Stabilized,NHITS_Standard,0.0,True
ZeroShot,RMSSC,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
ZeroShot,RMSSC,NHITS_Standard,NHITS_Stabilized,0.0,True
