architecture,hidden_layer_units,n_blocks,n_parameters,seed,val_sMAPE,val_RMSSE,val_RMSSC,val_sMAPC,time_seconds,wandb_run_id,timestamp
NHITS,32,3,21726,1,10.647660255432129,1.512338399887085,0.5348846912384033,4.676440715789795,56761.2,offline-run-20260330_073421-g08gackb,2026-03-30T23:20:04.302596
NHITS,32,5,33001,1,10.408468246459961,1.4627660512924194,0.5296418070793152,4.3639092445373535,38288.8,offline-run-20260330_232020-jeiuoozf,2026-03-31T09:58:13.108779
NHITS,32,10,60116,1,10.561599731445312,1.48288094997406,0.4659159183502197,3.476658582687378,4062.7,offline-run-20260331_095855-2erbev6o,2026-03-31T11:05:55.903677
NHITS,128,3,270942,1,10.733438491821289,1.457642912864685,0.5387938618659973,4.4708170890808105,3691.6,offline-run-20260403_165349-gewprug0,2026-04-03T17:55:02.055870
NHITS,128,5,438889,1,10.409934043884277,1.4530845880508423,0.5964357852935791,5.0542497634887695,16135.1,offline-run-20260331_153600-j9pukgi0,2026-03-31T20:04:36.589964
NHITS,128,10,854516,1,10.602041244506836,1.4805288314819336,0.5510392785072327,4.781627178192139,5361.6,offline-run-20260331_200456-e7hrnv1n,2026-03-31T21:33:58.233509
NHITS,256,3,1033310,1,10.412056922912598,1.4437241554260254,0.516339123249054,4.210630416870117,8287.1,offline-run-20260331_213414-8b4h91ni,2026-03-31T23:52:05.399166
NHITS,256,5,1696873,1,10.435810089111328,1.4303547143936157,0.5369989275932312,4.276487350463867,48735.1,offline-run-20260331_235258-dxvgh3g0,2026-04-01T13:24:20.632982
NHITS,256,10,3347316,1,10.443896293640137,1.465691089630127,0.56988924741745,5.33394718170166,86956.7,offline-run-20260401_132459-le3g7nyy,2026-04-02T13:33:37.456335
NHITS,512,3,4032606,1,10.84129524230957,1.51253080368042,0.46207547187805176,4.052215576171875,12478.2,offline-run-20260402_133427-ff0b3sun,2026-04-02T17:01:35.776453
NHITS,512,5,6670441,1,10.416641235351562,1.417413353919983,0.5684424638748169,4.811650276184082,6914.4,offline-run-20260402_170158-eyprpycd,2026-04-02T18:56:50.404460
NHITS,512,10,13248116,1,10.300772666931152,1.4585926532745361,0.5511718988418579,4.690961837768555,6597.7,offline-run-20260402_185736-36900t5j,2026-04-02T20:46:48.440636
