scenario,metric,n_series,n_models,chi2,p_value,significant
Scratch,sMAPE,1428,4,573.3504,0.0,True
Scratch,RMSSE,1428,4,646.6697,0.0,True
Scratch,sMAPC,1428,4,1579.3672,0.0,True
Scratch,RMSSC,1428,4,1674.2403,0.0,True
TL,sMAPE,1428,4,104.9328,0.0,True
TL,RMSSE,1428,4,109.6401,0.0,True
TL,sMAPC,1428,4,522.5824,0.0,True
TL,RMSSC,1428,4,542.4815,0.0,True
ZeroShot,sMAPE,1428,4,67.316,0.0,True
ZeroShot,RMSSE,1428,4,59.5462,0.0,True
ZeroShot,sMAPC,1428,4,149.3504,0.0,True
ZeroShot,RMSSC,1428,4,161.9773,0.0,True
