scenario,metric,model_a,model_b,p_nemenyi,significant
Scratch,sMAPE,NBEATS_Standard,NBEATS_Stabilized,0.560025,False
Scratch,sMAPE,NBEATS_Standard,NHITS_Standard,0.0,True
Scratch,sMAPE,NBEATS_Standard,NHITS_Stabilized,0.0,True
Scratch,sMAPE,NBEATS_Stabilized,NHITS_Standard,0.0,True
Scratch,sMAPE,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
Scratch,sMAPE,NHITS_Standard,NHITS_Stabilized,0.919814,False
Scratch,RMSSE,NBEATS_Standard,NBEATS_Stabilized,0.732362,False
Scratch,RMSSE,NBEATS_Standard,NHITS_Standard,0.0,True
Scratch,RMSSE,NBEATS_Standard,NHITS_Stabilized,0.0,True
Scratch,RMSSE,NBEATS_Stabilized,NHITS_Standard,0.0,True
Scratch,RMSSE,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
Scratch,RMSSE,NHITS_Standard,NHITS_Stabilized,0.357262,False
Scratch,sMAPC,NBEATS_Standard,NBEATS_Stabilized,0.670601,False
Scratch,sMAPC,NBEATS_Standard,NHITS_Standard,0.0,True
Scratch,sMAPC,NBEATS_Standard,NHITS_Stabilized,0.0,True
Scratch,sMAPC,NBEATS_Stabilized,NHITS_Standard,0.0,True
Scratch,sMAPC,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
Scratch,sMAPC,NHITS_Standard,NHITS_Stabilized,0.99993,False
Scratch,RMSSC,NBEATS_Standard,NBEATS_Stabilized,0.96072,False
Scratch,RMSSC,NBEATS_Standard,NHITS_Standard,0.0,True
Scratch,RMSSC,NBEATS_Standard,NHITS_Stabilized,0.0,True
Scratch,RMSSC,NBEATS_Stabilized,NHITS_Standard,0.0,True
Scratch,RMSSC,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
Scratch,RMSSC,NHITS_Standard,NHITS_Stabilized,0.997045,False
TL,sMAPE,NBEATS_Standard,NBEATS_Stabilized,0.541496,False
TL,sMAPE,NBEATS_Standard,NHITS_Standard,0.0,True
TL,sMAPE,NBEATS_Standard,NHITS_Stabilized,0.0,True
TL,sMAPE,NBEATS_Stabilized,NHITS_Standard,0.0,True
TL,sMAPE,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
TL,sMAPE,NHITS_Standard,NHITS_Stabilized,0.432977,False
TL,RMSSE,NBEATS_Standard,NBEATS_Stabilized,0.855744,False
TL,RMSSE,NBEATS_Standard,NHITS_Standard,0.0,True
TL,RMSSE,NBEATS_Standard,NHITS_Stabilized,0.0,True
TL,RMSSE,NBEATS_Stabilized,NHITS_Standard,0.0,True
TL,RMSSE,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
TL,RMSSE,NHITS_Standard,NHITS_Stabilized,0.254179,False
TL,sMAPC,NBEATS_Standard,NBEATS_Stabilized,0.0,True
TL,sMAPC,NBEATS_Standard,NHITS_Standard,0.0,True
TL,sMAPC,NBEATS_Standard,NHITS_Stabilized,0.007076,True
TL,sMAPC,NBEATS_Stabilized,NHITS_Standard,0.0,True
TL,sMAPC,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
TL,sMAPC,NHITS_Standard,NHITS_Stabilized,0.0,True
TL,RMSSC,NBEATS_Standard,NBEATS_Stabilized,0.0,True
TL,RMSSC,NBEATS_Standard,NHITS_Standard,0.0,True
TL,RMSSC,NBEATS_Standard,NHITS_Stabilized,0.001949,True
TL,RMSSC,NBEATS_Stabilized,NHITS_Standard,0.0,True
TL,RMSSC,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
TL,RMSSC,NHITS_Standard,NHITS_Stabilized,0.0,True
ZeroShot,sMAPE,NBEATS_Standard,NBEATS_Stabilized,2e-06,True
ZeroShot,sMAPE,NBEATS_Standard,NHITS_Standard,0.349262,False
ZeroShot,sMAPE,NBEATS_Standard,NHITS_Stabilized,0.01642,True
ZeroShot,sMAPE,NBEATS_Stabilized,NHITS_Standard,0.003496,True
ZeroShot,sMAPE,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
ZeroShot,sMAPE,NHITS_Standard,NHITS_Stabilized,2.4e-05,True
ZeroShot,RMSSE,NBEATS_Standard,NBEATS_Stabilized,8e-06,True
ZeroShot,RMSSE,NBEATS_Standard,NHITS_Standard,0.550754,False
ZeroShot,RMSSE,NBEATS_Standard,NHITS_Stabilized,0.030024,True
ZeroShot,RMSSE,NBEATS_Stabilized,NHITS_Standard,0.00255,True
ZeroShot,RMSSE,NBEATS_Stabilized,NHITS_Stabilized,0.0,True
ZeroShot,RMSSE,NHITS_Standard,NHITS_Stabilized,0.000271,True
ZeroShot,sMAPC,NBEATS_Standard,NBEATS_Stabilized,0.0,True
ZeroShot,sMAPC,NBEATS_Standard,NHITS_Standard,1e-06,True
ZeroShot,sMAPC,NBEATS_Standard,NHITS_Stabilized,5.1e-05,True
ZeroShot,sMAPC,NBEATS_Stabilized,NHITS_Standard,0.0,True
ZeroShot,sMAPC,NBEATS_Stabilized,NHITS_Stabilized,0.560025,False
ZeroShot,sMAPC,NHITS_Standard,NHITS_Stabilized,0.0,True
ZeroShot,RMSSC,NBEATS_Standard,NBEATS_Stabilized,1.9e-05,True
ZeroShot,RMSSC,NBEATS_Standard,NHITS_Standard,0.0,True
ZeroShot,RMSSC,NBEATS_Standard,NHITS_Stabilized,0.004519,True
ZeroShot,RMSSC,NBEATS_Stabilized,NHITS_Standard,0.0,True
ZeroShot,RMSSC,NBEATS_Stabilized,NHITS_Stabilized,0.560025,False
ZeroShot,RMSSC,NHITS_Standard,NHITS_Stabilized,0.0,True
