scenario,arch,metric,n_pairs,w_stat,p_raw,median_diff_stab_minus_std,direction,p_holm,significant_holm
Scratch,NBEATS,sMAPE,1428,503069.0,0.649458,0.0169,worse,1.0,False
Scratch,NBEATS,RMSSE,1428,495631.0,0.351469,0.0015,worse,1.0,False
Scratch,NBEATS,sMAPC,1428,482776.0,0.078998,-0.012,better,0.868978,False
Scratch,NBEATS,RMSSC,1428,506921.0,0.835723,-0.0017,better,1.0,False
Scratch,NHITS,sMAPE,1428,498010.0,0.435918,-0.0035,better,1.0,False
Scratch,NHITS,RMSSE,1428,476950.0,0.033144,0.0048,worse,0.397728,False
Scratch,NHITS,sMAPC,1428,509683.0,0.975943,0.0072,worse,1.0,False
Scratch,NHITS,RMSSC,1428,488764.0,0.169959,0.0023,worse,1.0,False
TL,NBEATS,sMAPE,1428,494892.0,0.327501,-0.007,better,1.0,False
TL,NBEATS,RMSSE,1428,508031.0,0.964384,-0.0005,better,1.0,False
TL,NBEATS,sMAPC,1428,299646.0,0.0,-0.0903,better,0.0,True
TL,NBEATS,RMSSC,1428,291082.0,0.0,-0.0154,better,0.0,True
TL,NHITS,sMAPE,1428,487159.0,0.140128,-0.0109,better,1.0,False
TL,NHITS,RMSSE,1428,492933.0,0.309919,-0.0014,better,1.0,False
TL,NHITS,sMAPC,1428,286781.0,0.0,-0.1041,better,0.0,True
TL,NHITS,RMSSC,1428,263566.0,0.0,-0.0188,better,0.0,True
ZeroShot,NBEATS,sMAPE,1428,474190.0,0.021032,-0.0348,better,0.273416,False
ZeroShot,NBEATS,RMSSE,1428,396343.0,0.0,-0.0042,better,0.0,True
ZeroShot,NBEATS,sMAPC,1428,352902.0,0.0,-0.0533,better,0.0,True
ZeroShot,NBEATS,RMSSC,1428,462041.0,0.002023,-0.008,better,0.028322,True
ZeroShot,NHITS,sMAPE,1428,395164.0,0.0,0.0534,worse,0.0,True
ZeroShot,NHITS,RMSSE,1428,380827.0,0.0,0.0056,worse,0.0,True
ZeroShot,NHITS,sMAPC,1428,400605.0,0.0,-0.075,better,0.0,True
ZeroShot,NHITS,RMSSC,1428,314762.0,0.0,-0.0151,better,0.0,True
