scenario,arch,metric,n_pairs,w_stat,p_raw,median_diff_stab_minus_std,direction,p_holm,significant_holm
Scratch,NBEATS,sMAPE,1428,329473.0,0.0,-0.4076,better,0.0,True
Scratch,NBEATS,RMSSE,1428,314703.0,0.0,-0.0251,better,0.0,True
Scratch,NBEATS,sMAPC,1428,6.0,0.0,-0.8383,better,0.0,True
Scratch,NBEATS,RMSSC,1428,0.0,0.0,-0.0958,better,0.0,True
Scratch,NHITS,sMAPE,1428,503176.0,0.654406,-0.0403,better,0.654406,False
Scratch,NHITS,RMSSE,1428,481717.0,0.074988,-0.0034,better,0.149976,False
Scratch,NHITS,sMAPC,1428,14942.0,0.0,-0.5977,better,0.0,True
Scratch,NHITS,RMSSC,1428,2548.0,0.0,-0.088,better,0.0,True
TL,NBEATS,sMAPE,1428,364400.0,0.0,-0.0238,better,0.0,True
TL,NBEATS,RMSSE,1428,404904.0,0.0,-0.0032,better,0.0,True
TL,NBEATS,sMAPC,1428,67287.0,0.0,-0.1293,better,0.0,True
TL,NBEATS,RMSSC,1428,43794.0,0.0,-0.0161,better,0.0,True
TL,NHITS,sMAPE,1428,361012.0,0.0,-0.0585,better,0.0,True
TL,NHITS,RMSSE,1428,439055.0,7e-06,-0.0079,better,2.8e-05,True
TL,NHITS,sMAPC,1428,72826.0,0.0,-0.3348,better,0.0,True
TL,NHITS,RMSSC,1428,44721.0,0.0,-0.0428,better,0.0,True
ZeroShot,NBEATS,sMAPE,1428,416424.0,0.0,-0.0766,better,0.0,True
ZeroShot,NBEATS,RMSSE,1428,477593.0,0.045318,-0.01,better,0.135954,False
ZeroShot,NBEATS,sMAPC,1428,39.0,0.0,-0.6832,better,0.0,True
ZeroShot,NBEATS,RMSSC,1428,1.0,0.0,-0.0875,better,0.0,True
ZeroShot,NHITS,sMAPE,1428,248585.0,0.0,-0.367,better,0.0,True
ZeroShot,NHITS,RMSSE,1428,354102.0,0.0,-0.0374,better,0.0,True
ZeroShot,NHITS,sMAPC,1428,1670.0,0.0,-0.9531,better,0.0,True
ZeroShot,NHITS,RMSSC,1428,178.0,0.0,-0.1106,better,0.0,True
